Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"U1"	,"STC8G1K08-38I-QFN20"	,"TQFN-20L_L3.0-W3.0-P0.40-BL-EP"	,"0mm"	,"4.826mm"	,"0mm"	,"4.826mm"	,"-1.407mm"	,"5.626mm"	,"T"	,"270"	,"Yes"	,"STC8G1K08-38I-QFN20"	,
"U2"	,"MPU6500"	,"QFN-24_L3.0-W3.0-P0.40-BL-EP"	,"0mm"	,"0mm"	,"0mm"	,"0mm"	,"1mm"	,"1.427mm"	,"T"	,"180"	,"Yes"	,"MPU6500"	,
"PR1"	,"TPS61070DDCR"	,"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR"	,"6.223mm"	,"-6.096mm"	,"6.223mm"	,"-6.096mm"	,"7.623mm"	,"-5.146mm"	,"B"	,"0"	,"Yes"	,"TPS61070DDCR"	,
"C1"	,"CL05A475MP5NRNC"	,"C0402"	,"5.461mm"	,"-3.683mm"	,"5.461mm"	,"-3.683mm"	,"4.916mm"	,"-3.683mm"	,"B"	,"0"	,"Yes"	,"4.7uF"	,
"L1"	,"SDFL1608Q4R7KTF"	,"L0603"	,"5.588mm"	,"-2.286mm"	,"5.588mm"	,"-2.286mm"	,"6.288mm"	,"-2.286mm"	,"B"	,"180"	,"Yes"	,"4.7uH"	,
"R1"	,"0402WGF1004TCE"	,"R0402"	,"5.461mm"	,"-8.382mm"	,"5.461mm"	,"-8.382mm"	,"5.028mm"	,"-8.382mm"	,"B"	,"0"	,"Yes"	,"1MΩ"	,
"R2"	,"0402WGF1803TCE"	,"R0402"	,"3.429mm"	,"-6.604mm"	,"3.429mm"	,"-6.604mm"	,"3.429mm"	,"-6.171mm"	,"B"	,"270"	,"Yes"	,"180kΩ"	,
"C2"	,"CL05B472KB5NNNC"	,"C0402"	,"7.874mm"	,"-8.382mm"	,"7.874mm"	,"-8.382mm"	,"8.419mm"	,"-8.382mm"	,"B"	,"180"	,"Yes"	,"4.7nF"	,
"C3"	,"CL05B104KO5NNNC"	,"C0402_NEW"	,"-3.175mm"	,"-0.762mm"	,"-3.175mm"	,"-0.762mm"	,"-3.175mm"	,"-0.217mm"	,"T"	,"270"	,"Yes"	,"100nF"	,
"C4"	,"CL05B103KB5NNNC"	,"C0402"	,"7.964mm"	,"-9.271mm"	,"7.964mm"	,"-9.271mm"	,"7.419mm"	,"-9.271mm"	,"T"	,"0"	,"Yes"	,"10nF"	,
"RN1"	,"RTA02-4D221JTH"	,"RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL"	,"-3.937mm"	,"5.588mm"	,"-3.937mm"	,"5.588mm"	,"-4.687mm"	,"6.015mm"	,"T"	,"0"	,"Yes"	,"220Ω"	,
"RN2"	,"RTA02-4D221JTH"	,"RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL"	,"4.191mm"	,"4.699mm"	,"4.191mm"	,"4.699mm"	,"3.764mm"	,"3.949mm"	,"T"	,"90"	,"Yes"	,"220Ω"	,
"LED1"	,"204-10SURD/S530-A3-L"	,"LED-TH_BD3.0-P2.54-FD"	,"-2.5mm"	,"8.763mm"	,"-2.5mm"	,"8.763mm"	,"-3.77mm"	,"8.763mm"	,"B"	,"0"	,"No"	,"204-10SURD/S530-A3-L"	,
"LED2"	,"204-10SUBC/S400-A4"	,"LED-TH_BD4.0-P2.54-FD"	,"2.5mm"	,"8.763mm"	,"2.5mm"	,"8.763mm"	,"3.77mm"	,"8.763mm"	,"T"	,"180"	,"No"	,"204-10SUBC/S400-A4"	,
"LED3"	,"204-10SUGD/S400-A5"	,"LED-TH_BD3.0-P2.54-FD"	,"-8.763mm"	,"2.5mm"	,"-8.763mm"	,"2.5mm"	,"-8.763mm"	,"3.77mm"	,"B"	,"270"	,"No"	,"204-10SUGD/S400-A5"	,
"LED4"	,"204-10SUBC/S400-A4"	,"LED-TH_BD4.0-P2.54-FD"	,"-8.763mm"	,"-2.5mm"	,"-8.763mm"	,"-2.5mm"	,"-8.763mm"	,"-3.77mm"	,"T"	,"90"	,"No"	,"204-10SUBC/S400-A4"	,
"LED5"	,"204-10SYGD/S530-E3-L"	,"LED-TH_BD3.0-P2.54-FD"	,"2.5mm"	,"-8.763mm"	,"2.5mm"	,"-8.763mm"	,"3.77mm"	,"-8.763mm"	,"B"	,"180"	,"No"	,"204-10SYGD/S530-E3-L"	,
"LED6"	,"XL-302UWC"	,"LED-TH_BD3.8-P2.54-FD_WHITE"	,"-2.5mm"	,"-8.763mm"	,"-2.5mm"	,"-8.763mm"	,"-3.77mm"	,"-8.763mm"	,"T"	,"0"	,"No"	,"XL-302UWC"	,
"LED7"	,"TJ-L3FYTXHAMCGLFLC0A-A5"	,"LED-TH_BD3.0-P2.54-FD"	,"8.763mm"	,"-2.5mm"	,"8.763mm"	,"-2.5mm"	,"8.763mm"	,"-3.77mm"	,"B"	,"90"	,"No"	,"TJ-L3FYTXHAMCGLFLC0A-A5"	,
"LED8"	,"XL-302UWC"	,"LED-TH_BD3.8-P2.54-FD_WHITE"	,"8.763mm"	,"2.5mm"	,"8.763mm"	,"2.5mm"	,"8.763mm"	,"3.77mm"	,"T"	,"270"	,"No"	,"XL-302UWC"	,
"BT1"	,"MY-927-01"	,"BAT-TH_MY-927-01"	,"0mm"	,"0mm"	,"0mm"	,"0mm"	,"-4.874mm"	,"0mm"	,"B"	,"180"	,"No"	,"MY-927-01"	,
"C5"	,"CL05B104KO5NNNC"	,"C0402_NEW"	,"-4.318mm"	,"-2.54mm"	,"-4.318mm"	,"-2.54mm"	,"-3.773mm"	,"-2.54mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
