Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"U1"	,"STC8G1K17-38I-QFN20"	,"TQFN-20L_L3.0-W3.0-P0.40-BL-EP"	,"0mm"	,"5.588mm"	,"0mm"	,"5.588mm"	,"-1.407mm"	,"6.388mm"	,"21"	,"T"	,"270"	,"Yes"	,"STC8G1K17-38I-QFN20"	,
"U2"	,"MPU6500"	,"QFN-24_L3.0-W3.0-P0.40-BL-EP"	,"0mm"	,"0mm"	,"0mm"	,"0mm"	,"1mm"	,"1.427mm"	,"25"	,"T"	,"180"	,"Yes"	,"MPU6500"	,
"PR1"	,"TPS61070DDCR"	,"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR"	,"-2.54mm"	,"-7.239mm"	,"-2.54mm"	,"-7.239mm"	,"-3.49mm"	,"-8.639mm"	,"6"	,"T"	,"270"	,"Yes"	,"TPS61070DDCR"	,
"C1"	,"CL05A475MP5NRNC"	,"C0402"	,"-4.826mm"	,"-6.477mm"	,"-4.826mm"	,"-6.477mm"	,"-4.826mm"	,"-5.932mm"	,"2"	,"T"	,"270"	,"Yes"	,"4.7uF"	,
"L1"	,"SDFL1608Q4R7KTF"	,"L0603"	,"-6.223mm"	,"-6.604mm"	,"-6.223mm"	,"-6.604mm"	,"-6.223mm"	,"-7.304mm"	,"2"	,"T"	,"90"	,"Yes"	,"4.7uH"	,
"R1"	,"0402WGF1004TCE"	,"R0402"	,"-0.127mm"	,"-4.572mm"	,"-0.127mm"	,"-4.572mm"	,"-0.127mm"	,"-4.139mm"	,"2"	,"T"	,"270"	,"Yes"	,"1MΩ"	,
"C3"	,"CL05B104KO5NNNC"	,"C0402_NEW"	,"-3.175mm"	,"-0.762mm"	,"-3.175mm"	,"-0.762mm"	,"-3.175mm"	,"-0.217mm"	,"2"	,"T"	,"270"	,"Yes"	,"100nF"	,
"C4"	,"CL05B103KB5NNNC"	,"C0402"	,"-2.667mm"	,"4.191mm"	,"-2.667mm"	,"4.191mm"	,"-2.667mm"	,"4.736mm"	,"2"	,"T"	,"270"	,"Yes"	,"10nF"	,
"LED1"	,"204-10SURD/S530-A3-L"	,"LED-TH_BD3.0-P2.54-FD"	,"3mm"	,"-10.75mm"	,"3mm"	,"-10.75mm"	,"4.27mm"	,"-10.75mm"	,"2"	,"T"	,"180"	,"No"	,"204-10SURD/S530-A3-L"	,
"LED2"	,"204-10SUBC/S400-A4"	,"LED-TH_BD4.0-P2.54-FD"	,"10.75mm"	,"3mm"	,"10.75mm"	,"3mm"	,"10.75mm"	,"4.27mm"	,"2"	,"T"	,"270"	,"No"	,"204-10SUBC/S400-A4"	,
"LED3"	,"204-10SUGD/S400-A5"	,"LED-TH_BD3.0-P2.54-FD"	,"-3mm"	,"10.75mm"	,"-3mm"	,"10.75mm"	,"-4.27mm"	,"10.75mm"	,"2"	,"T"	,"0"	,"No"	,"204-10SUGD/S400-A5"	,
"LED4"	,"204-10SUBC/S400-A4"	,"LED-TH_BD4.0-P2.54-FD"	,"-10.75mm"	,"-3mm"	,"-10.75mm"	,"-3mm"	,"-10.75mm"	,"-4.27mm"	,"2"	,"T"	,"90"	,"No"	,"204-10SUBC/S400-A4"	,
"LED5"	,"204-10SYGD/S530-E3-L"	,"LED-TH_BD3.0-P2.54-FD"	,"-3mm"	,"-10.75mm"	,"-3mm"	,"-10.75mm"	,"-4.27mm"	,"-10.75mm"	,"2"	,"B"	,"0"	,"No"	,"204-10SYGD/S530-E3-L"	,
"LED6"	,"XL-302UWC"	,"LED-TH_BD3.8-P2.54-FD_WHITE"	,"10.75mm"	,"-3mm"	,"10.75mm"	,"-3mm"	,"10.75mm"	,"-4.27mm"	,"2"	,"B"	,"90"	,"No"	,"XL-302UWC"	,
"LED7"	,"TJ-L3FYTXHAMCGLFLC0A-A5"	,"LED-TH_BD3.0-P2.54-FD"	,"3mm"	,"10.75mm"	,"3mm"	,"10.75mm"	,"4.27mm"	,"10.75mm"	,"2"	,"B"	,"180"	,"No"	,"TJ-L3FYTXHAMCGLFLC0A-A5"	,
"LED8"	,"XL-302UWC"	,"LED-TH_BD3.8-P2.54-FD_WHITE"	,"-10.75mm"	,"3mm"	,"-10.75mm"	,"3mm"	,"-10.75mm"	,"4.27mm"	,"2"	,"B"	,"270"	,"No"	,"XL-302UWC"	,
"BT1"	,"MY-927-01"	,"BAT-TH_MY-927-01"	,"0mm"	,"0mm"	,"0mm"	,"0mm"	,"-4.874mm"	,"0mm"	,"3"	,"B"	,"180"	,"No"	,"MY-927-01"	,
"C5"	,"CL05B104KO5NNNC"	,"C0402_NEW"	,"-1.524mm"	,"-2.667mm"	,"-1.524mm"	,"-2.667mm"	,"-0.979mm"	,"-2.667mm"	,"2"	,"T"	,"180"	,"Yes"	,"100nF"	,
"R3"	,"0402WGF4700TCE"	,"R0402"	,"6.35mm"	,"-10.75mm"	,"6.35mm"	,"-10.75mm"	,"6.783mm"	,"-10.75mm"	,"2"	,"T"	,"180"	,"Yes"	,"470Ω"	,
"R4"	,"0402WGF4700TCE"	,"R0402"	,"10.75mm"	,"6.35mm"	,"10.75mm"	,"6.35mm"	,"10.75mm"	,"6.783mm"	,"2"	,"T"	,"270"	,"Yes"	,"470Ω"	,
"R5"	,"0402WGF4700TCE"	,"R0402"	,"-6.35mm"	,"10.75mm"	,"-6.35mm"	,"10.75mm"	,"-6.783mm"	,"10.75mm"	,"2"	,"T"	,"0"	,"Yes"	,"470Ω"	,
"R6"	,"0402WGF4700TCE"	,"R0402"	,"-10.75mm"	,"-6.35mm"	,"-10.75mm"	,"-6.35mm"	,"-10.75mm"	,"-6.783mm"	,"2"	,"T"	,"90"	,"Yes"	,"470Ω"	,
"R7"	,"0402WGF4700TCE"	,"R0402"	,"-6.35mm"	,"-10.75mm"	,"-6.35mm"	,"-10.75mm"	,"-6.783mm"	,"-10.75mm"	,"2"	,"T"	,"0"	,"Yes"	,"470Ω"	,
"R8"	,"0402WGF4700TCE"	,"R0402"	,"10.75mm"	,"-6.35mm"	,"10.75mm"	,"-6.35mm"	,"10.75mm"	,"-6.783mm"	,"2"	,"T"	,"90"	,"Yes"	,"470Ω"	,
"R9"	,"0402WGF4700TCE"	,"R0402"	,"6.35mm"	,"10.75mm"	,"6.35mm"	,"10.75mm"	,"6.783mm"	,"10.75mm"	,"2"	,"T"	,"180"	,"Yes"	,"470Ω"	,
"R10"	,"0402WGF4700TCE"	,"R0402"	,"-10.75mm"	,"6.35mm"	,"-10.75mm"	,"6.35mm"	,"-10.75mm"	,"6.783mm"	,"2"	,"T"	,"270"	,"Yes"	,"470Ω"	,
"R2"	,"0603WAF1803T5E"	,"R0603"	,"-2.286mm"	,"-4.191mm"	,"-2.286mm"	,"-4.191mm"	,"-3.039mm"	,"-4.191mm"	,"2"	,"T"	,"0"	,"Yes"	,"180kΩ"	,
"C2"	,"0402B472K500NT"	,"C0402"	,"-0.127mm"	,"-7.747mm"	,"-0.127mm"	,"-7.747mm"	,"-0.127mm"	,"-8.292mm"	,"2"	,"T"	,"90"	,"Yes"	,"4.7nF"	,
